"","model","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"1","RF","0.956521739130435","0.906882591093118","0.851613224079884","0.99469051715057","0.652173913043478","9.24223379992973e-07","0.479500122186953","1","0.933333333333333","0.888888888888889","1","0.888888888888889","1","0.941176470588235","0.347826086956522","0.347826086956522","0.391304347826087","0.966666666666667"
"2","ctree","0.956521739130435","0.904166666666667","0.851613224079884","0.99469051715057","0.652173913043478","9.24223379992973e-07","1","0.9375","0.966666666666667","0.9375","0.966666666666667","0.9375","0.9375","0.9375","0.347826086956522","0.326086956521739","0.347826086956522","0.952083333333333"
"3","rpart","0.869565217391304","0.728346456692913","0.737434983812373","0.95059265342629","0.652173913043478","0.00083932277508669","0.220671361919847","0.9375","0.833333333333333","0.75","0.961538461538462","0.75","0.9375","0.833333333333333","0.347826086956522","0.326086956521739","0.434782608695652","0.885416666666667"
"4","C5.0","0.934782608695652","0.858316221765914","0.821035611127249","0.986343228086554","0.652173913043478","7.57673152756648e-06","1","0.9375","0.933333333333333","0.882352941176471","0.96551724137931","0.882352941176471","0.9375","0.909090909090909","0.347826086956522","0.326086956521739","0.369565217391304","0.935416666666667"
