"Zona geográfica","Li","Na","Mg","Al","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","As","Se","Rb","Sr","Mo","Pd","Ag","Cd","Sn","Sb","Hg","207_Pb","208_Pb","Columna58","Columna59","Columna60","Columna61","Columna62","Columna63","Columna64","Columna65","Columna66","Columna67","Columna68","Columna69","Columna70","Columna71","Columna72","Columna73","Columna74","Columna75","Columna76","Columna77","Columna78","Columna79","Columna80","Columna81","Columna82","Columna83","Columna84","Columna85","Columna86","Columna87","Columna88","Columna89","Columna90","Columna91","Columna92","Columna93","Columna94","Columna95","Columna96","Columna97","Columna98","Columna99","Columna100","Columna101","Columna102","Columna103","Columna104","Columna105","Columna106","Columna107","Columna108","Columna109","Columna110","Columna111","Columna112","Columna113","Columna114","Columna115","Columna116","Columna117","Columna118","Columna119","Columna120","Columna121","Columna122","Columna123","Columna124","Columna125","Columna126","Columna127","Columna128","Columna129","Columna130","Columna131","Columna132","Columna133","Columna134","Columna135","Columna136","Columna137","Columna138","Columna139","Columna140","Columna141","Columna142","Columna143","Columna144","Columna145","Columna146"
"Valle de Uco",0.09948276187593,5.22648480637098,26.4801861822685,35.4394507692934,23.3645606596174,0.093036051259471,0.005484752059416,0.031463616492716,0.835643394059765,3.52314227431811,0.009673367115242,0.064108978221415,0.346839571228289,1.71336431785675,0.004186817318822,0.0001,0.306413914960211,0.217760521398625,0.0001,0.026126383521832,0.0001,0.000681339100297,0.052694635346341,0.024951953506349,0.0001,0.02510883663797,0.026957118423552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valle de Uco",0.0001,1.40243218828111,77.372908365009,1.70815066975338,59.5708357062324,0.054116245830368,0.006203157705094,0.0001,1.58559802800663,2.34952817376184,0.004376513025396,0.104786872548017,0.423730282264864,0.840072292367824,0.006748433616676,0.0001,0.391530153244366,0.228173236528957,0.024817301465645,0.026261073549071,0.010472890640784,0.000152277672475,0.053334813779546,0.043690494578975,0.06456660104563,0.0001,0.000977830130155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valle de Uco",0.068637922463121,1.12530503833834,80.7750786838706,3.54119245139251,43.9452119733088,0.02464857900957,0.0001,0.051682076592602,1.56849409798163,2.31809201355011,0.001809319273429,0.0001,0.45549595898875,0.800149299345527,0.009031556349376,0.014932802948865,0.254342271877359,0.163566606120543,0.013221625133409,0.024873896002846,0.0001,0.000173530902662,0.087439062270145,0.050327298303871,0.040721209447902,0.004746094758146,0.004582668859527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valle de Uco",0.181933860951113,2.78243335803272,11.5766909668442,2.84210143700019,22.6631540752476,0.111898453740173,0.008782344935717,0.0001,0.236174600881755,3.14419353737502,0.004499931234099,0.011321033163002,0.175126849904264,0.850378909059334,0.0001,0.0001,0.119170312651276,0.118721969280516,0.0001,0.091120050274491,0.0001,0.000415645313442,0.088841830204327,0.030535757968433,0.0001,0.018996200404748,0.026374268863564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valle de Uco",0.079770200642215,1.18897966167377,10.3220181628811,2.25634970364816,11.9372398090194,0.06738267057765,0.001744685754582,0.02412505364883,0.180640174288639,3.00306059642701,0.002232756600124,0.173599756362186,0.144274592297185,4.01925542430385,0.001160938255735,0.0001,0.094409167205243,0.132678997600681,0.0001,0.013452224560569,0.0001,0.003291394265193,0.074878744904158,0.038149942799934,0.00811384151012,0.043270921070658,0.043817944087745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valle de Uco",0.060981122969601,3.69754845561311,46.4658833522442,1.82952189446304,32.732943044806,0.036701319986973,6.528409525692E-05,0.046175437861916,1.04442390785297,7.34579731599877,0.005675191331528,0.040984236781405,0.372801107111515,1.07731264550979,0.006681537461688,0.0001,0.370053116393526,0.216089849757535,0.0001,0.088022519267571,0.0001,0.000924578180489,0.072461306126972,0.054037393649614,0.009697715048642,0.018410805996587,0.018798721466387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valle de Uco",0.032906462866727,1.63685878086746,65.6014530541112,2.160082780794,46.2764376782521,0.091189745318883,0.007187511388445,0.00606364370871,1.36151475385294,4.12244577863753,0.004746707585895,0.0001,0.391693860751656,0.966947225617098,0.007975695949056,0.003698607421897,0.351307848554059,0.236345140503455,0.023729269797029,0.024606772803802,0.0001,0.000233660108014,0.065061826396757,0.040770487694415,0.047126498812969,0.006929242281243,0.007845789797473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valle de Uco",0.060275280847232,1.69824800377329,39.177451928005,5.40104670380862,33.1586750096141,0.121759451358953,0.004552229209788,0.011167240191839,0.710667039934109,4.78181421718389,0.002895483195636,0.046567466297413,0.320381574904965,1.7300209084141,0.007083000415847,0.007870504088941,0.171804451915569,0.28182332416411,0.0001,0.016195289806504,0.0001,0.001242303985795,0.488028704167266,0.028137892801325,0.031774414705955,0.04930943996671,0.051062854232358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valle de Uco",0.0001,3.93376727711451,54.6937714745373,2.84123780583856,44.1512990498604,0.089015391271601,0.010766941793693,0.0001,1.38392777465948,4.64630678222496,0.008398189700439,0.0001,0.424790400103531,1.28191211717736,0.00659440318984,0.000289990369515,0.412333699149665,0.22325041886358,0.00268868835447,0.04111294558991,0.000165317449425,0.000559956152112,0.122721082167599,0.045400651005073,0.0001,0.024248217675586,0.032128923654013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valle de Uco",0.240411835041823,1.1424803746253,9.22959842577598,3.62323223955896,18.6749629889758,0.061360683273588,0.001438642677728,0.013986519404225,0.136581963299081,3.08093942480273,0.001972618820323,0.0001,0.104737110646117,0.651685889134985,0.002225609100228,0.0001,0.107927873247472,0.114105966015961,0.029916688789371,0.047119908523833,0.013730940372902,0.000105158709396,0.075304340168045,0.027099965385387,0.038084872368496,0.02052101896609,0.020433597760518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
